l_abs_values_converted,l_euclidean_values_converted,w_abs_values_converted,w_euclidean_values_converted,theta_values
73.6969696969697,73.72248362181125,46.54545454545455,46.90768144464611,1.507435758774968
56.24242424242424,57.072248124362325,50.42424242424242,52.21977994797095,-9.782407031807287
85.33333333333334,89.5487719223482,52.36363636363637,58.117135762508404,17.650124219930124
58.18181818181819,58.984363930164555,50.42424242424242,52.21977994797095,9.462322208025617
62.06060606060606,65.02033304917416,46.54545454545455,46.585841064588855,17.35402463626132
60.121212121212125,61.63490359106213,46.54545454545455,46.90768144464611,12.724355685422369
64.0,64.0,46.54545454545455,48.484848484848484,0.0
65.93939393939394,66.0533774193509,46.54545454545455,49.710567245483816,3.3664606634298013
56.24242424242424,56.24242424242424,50.42424242424242,57.26961671848107,0.0
73.6969696969697,73.6969696969697,48.484848484848484,51.53097796106249,0.0
69.81818181818181,70.4883659457406,48.484848484848484,48.52362086088458,-7.907162702958458
60.121212121212125,60.40208097899612,46.54545454545455,46.90768144464611,5.527540151656172
75.63636363636364,75.73575443303422,48.484848484848484,48.52362086088458,-2.935673446421173
79.51515151515152,81.84610073603565,48.484848484848484,49.4450377075664,13.706961004079808
58.18181818181819,58.31096777065856,52.36363636363637,56.54256382880291,-3.8140748342903543
58.18181818181819,58.18181818181819,60.121212121212125,68.56793029687734,0.0
77.57575757575758,78.75467831950333,50.42424242424242,56.37601688726743,9.926245506651705
62.06060606060606,62.181700041236944,50.42424242424242,63.61685126538367,3.576334374997351
60.121212121212125,60.152484535353494,48.484848484848484,49.4450377075664,1.8476102659945959
69.81818181818181,71.52131457778725,48.484848484848484,48.83269163447921,12.528807709151511
79.51515151515152,82.8509454091397,54.303030303030305,55.97428243262763,16.31385242626056
65.93939393939394,66.19558076460999,52.36363636363637,52.36363636363637,-5.042451069170913
83.39393939393939,85.20099931728988,50.42424242424242,50.573206537329646,11.821488340607255
58.18181818181819,58.31096777065856,50.42424242424242,53.35977306064525,-3.8140748342903543
65.93939393939394,66.19558076460999,50.42424242424242,50.4615246788177,5.042451069170913
64.0,66.33747927849531,50.42424242424242,51.74948485479305,15.255118703057777
73.6969696969697,73.9262780219963,48.484848484848484,49.10153270757688,4.513988458001263
58.18181818181819,58.69671156527149,60.121212121212125,76.03314728305516,-7.594643368591445
71.75757575757576,71.78377899955102,52.36363636363637,54.094839005018585,-1.5481576989779677
56.24242424242424,56.24242424242424,50.42424242424242,50.4615246788177,0.0
58.18181818181819,59.33404524907968,52.36363636363637,52.399538758230484,11.309932474020213
64.0,64.11743129140962,62.06060606060606,62.33273669813604,-3.4682292589171477
83.39393939393939,88.97993500667704,56.24242424242424,61.63490359106213,20.409882833803987
85.33333333333334,90.80009627709771,56.24242424242424,56.54256382880291,19.98310652189998
69.81818181818181,69.81818181818181,48.484848484848484,48.52362086088458,0.0
64.0,64.4684417497005,54.303030303030305,58.343210497905744,6.911227119024681
83.39393939393939,85.20099931728988,54.303030303030305,56.47600398957008,11.821488340607255
58.18181818181819,58.18181818181819,58.18181818181819,58.21413244045046,0.0
65.93939393939394,66.19558076460999,54.303030303030305,54.303030303030305,5.042451069170913
73.6969696969697,74.93693706225127,71.75757575757576,98.77590557670278,-10.43747535111818
71.75757575757576,74.33219062976698,64.0,72.90160922846061,15.124007308310569
69.81818181818181,70.24783622312664,54.303030303030305,54.441382196822104,6.34019174590991
64.0,64.02937801394106,58.18181818181819,64.20536380992718,1.7357045889283889
79.51515151515152,81.40835631249593,64.0,78.01090079464248,-12.380756928807177
71.75757575757576,72.40981217976038,62.06060606060606,62.33273669813604,-7.696051722016569
77.57575757575758,78.17946907441018,67.87878787878788,72.40981217976038,7.125016348901798
93.0909090909091,93.17168212917771,60.121212121212125,63.17186899356055,-2.3859440303888126
71.75757575757576,71.86233139839575,62.06060606060606,71.20508024508439,-3.0940580589171116
81.45454545454545,81.54684525237775,62.06060606060606,65.02033304917416,2.7263109939062655
98.9090909090909,106.96597126312864,60.121212121212125,60.40208097899612,22.380135051959574
100.84848484848484,107.36958476153336,62.06060606060606,62.33273669813604,20.07152586453873
81.45454545454545,83.73152250151914,64.0,67.46192341692543,13.392497753751098
75.63636363636364,79.72772767454823,62.06060606060606,63.97060849443159,-18.43494882292201
